Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Brice Turang","MIL",145,616,18,92,75,24,0.094155844,0.222402597,0.153005464,0.348370927,0.285974499,0.353420195,0.438979963,0.34473772801543917,0.3438556048976138,122.27858049204387,2.6466631293296814,18.935864849032964,-0.6247379779815674,3.9726380700254604,"Brice Turang",22186,668930
"Sal Frelick","MIL",133,558,10,73,58,19,0.082437275,0.130824372,0.111561866,0.327710843,0.296146044,0.361161524,0.40770791,0.33850575466986793,0.3083161746754366,118.00539439844336,2.6309331208467484,14.556208354800129,2.6453514099121094,3.661198196285084,"Sal Frelick",29622,686217
"William Contreras","MIL",143,632,17,86,76,6,0.126582278,0.180379746,0.141804788,0.303827751,0.26519337,0.359177215,0.406998158,0.3362701276115551,0.336889530684787,116.47245291645702,-3.348118096590042,9.008707772955178,5.227974534034729,3.6122735651750206,"William Contreras",20503,661388
"Jackson Chourio","MIL",120,536,20,82,76,18,0.052238805,0.197761194,0.202,0.316622691,0.28,0.31902985,0.482,0.3411734807157071,0.32446631665499703,119.83462074594,2.166431248188019,14.785295373560777,-2.298965573310852,3.1055659276684358,"Jackson Chourio",28806,694192
"Isaac Collins","MIL",124,419,9,54,54,16,0.124105011,0.210023866,0.151685393,0.332061068,0.269662921,0.367788461,0.421348314,0.34770873117332274,0.3252113066523908,124.31576015798925,1.0949207544326782,13.187903898628718,-1.3018841743469238,2.64418773334831,"Isaac Collins",25477,686555
"Caleb Durbin","MIL",126,464,11,58,50,16,0.060344827,0.099137931,0.139364303,0.27247191,0.264058679,0.338394793,0.403422982,0.3270676830326916,0.3133565956967143,110.16245189094325,1.9412638247013092,7.5381703888414116,2.4599449038505554,2.6057829304178957,"Caleb Durbin",29646,702332
"Christian Yelich","MIL",139,596,29,85,99,16,0.098993288,0.263422818,0.199623352,0.326589595,0.267419962,0.345637583,0.467043314,0.3499928430453977,0.34420925042568107,125.88194706970232,2.7466671764850616,21.056095225977945,-15.516733646392822,2.603065099522861,"Christian Yelich",11477,592885
"Andrew Vaughn","MIL",56,223,9,23,42,0,0.080717488,0.143497757,0.186868687,0.33125,0.313131313,0.373873873,0.5,0.3759147479190483,0.3795956730293239,143.65627267788824,-1.3459540605545044,10.209395557402061,-0.9287087917327881,1.70830825798369,"Andrew Vaughn",26197,683734
"Joey Ortiz","MIL",138,473,7,60,44,13,0.057082452,0.145877378,0.086757991,0.256906077,0.228310502,0.277777777,0.315068493,0.26396083526122266,0.2805965200163537,66.89087652394574,2.1597910672426224,-16.428539953246506,14.185772895812988,1.3894949551125886,"Joey Ortiz",25493,687401
"Rhys Hoskins","MIL",85,321,12,30,43,2,0.118380062,0.267912772,0.18382353,0.3,0.242647058,0.339563862,0.426470588,0.33164794822471644,0.3268461795436178,113.3030823844084,-1.0659950077533722,4.002615114882693,-4.513378977775574,1.046003788385872,"Rhys Hoskins",16472,656555
"Andruw Monasterio","MIL",60,119,4,19,16,1,0.058823529,0.226890756,0.190909091,0.341772151,0.281818181,0.336134453,0.472727272,0.3495928039069937,0.30809418493960083,125.60764524131942,-1.1883384138345718,2.4286588445624875,0.1693638563156128,0.6717421212494917,"Andruw Monasterio",19455,655316
"Jake Bauers","MIL",76,192,7,26,27,7,0.140625,0.291666666,0.171779141,0.287128712,0.220858895,0.333333333,0.392638036,0.3202869249263983,0.35801030209189966,105.51297095815448,1.3753796070814133,2.6317523532921303,-4.030934929847717,0.5142255232632429,"Jake Bauers",15194,641343
