Season,Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
2025,"Eddie Rosario","MIL","AAA",33,20,69,83,20,13,5,0,2,13,11,11,0,17,0,3,0,1,6,1,0.289855072,"12155"
2025,"Jorge Alfaro","MIL","AAA",32,82,307,326,75,49,10,1,15,49,49,11,0,119,7,1,0,5,12,0,0.244299674,"12180"
2025,"Eric Haase","MIL","AAA",32,17,54,66,9,5,3,0,1,5,11,11,0,17,0,1,0,1,0,0,0.166666666,"14111"
2025,"Jake Bauers","MIL","AAA",29,5,19,22,4,0,1,0,3,4,5,3,0,8,0,0,0,0,0,0,0.210526315,"15194"
2025,"Rhys Hoskins","MIL","AAA",32,14,51,62,14,8,4,0,2,8,6,9,0,13,0,2,0,2,2,0,0.274509803,"16472"
2025,"Luis Urias","MIL","AAA",28,10,36,42,11,7,3,0,1,5,10,5,0,6,1,0,0,2,1,0,0.305555555,"16622"
2025,"Daz Cameron","MIL","AAA",28,56,218,255,62,31,11,3,17,44,50,29,0,56,5,3,0,0,16,6,0.284403669,"18353"
2025,"Andruw Monasterio","MIL","AAA",28,30,112,130,28,18,6,0,4,18,11,16,0,31,1,1,0,1,8,3,0.25,"19455"
2025,"Blake Perkins","MIL","CPX",28,7,18,22,7,7,0,0,0,4,2,4,0,4,0,0,0,0,1,1,0.388888888,"19921"
2025,"Blake Perkins","MIL","AAA",28,8,26,34,5,3,1,0,1,6,2,8,0,13,0,0,0,0,2,1,0.192307692,"19921"
2025,"Bobby Dalbec","MIL","AAA",30,61,229,264,61,33,15,1,12,36,44,30,0,89,3,2,0,4,3,0,0.266375545,"19966"
2025,"Jared Oliva","MIL","AAA",29,93,339,388,83,54,15,4,10,62,43,35,0,82,9,1,1,2,53,6,0.244837758,"19968"
2025,"Brandon Lockridge","MIL","AAA",28,9,38,42,11,10,1,0,0,8,2,4,0,7,0,0,0,1,3,0,0.289473684,"21496"
2025,"Steward Berroa","MIL","CPX",26,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"22766"
2025,"Steward Berroa","MIL","AAA",26,23,73,91,14,11,2,0,1,11,6,14,0,28,0,2,2,0,10,2,0.191780821,"22766"
2025,"Steward Berroa","MIL","A+",26,8,21,29,3,1,1,1,0,3,3,6,0,6,2,0,0,0,3,0,0.142857142,"22766"
2025,"Anthony Seigler","MIL","AAA",26,68,230,286,66,40,15,4,7,47,36,51,0,55,3,2,0,2,22,3,0.286956521,"23802"
2025,"Drew Avans","MIL","AAA",29,52,199,222,50,35,11,0,4,31,24,20,1,54,3,0,0,1,24,3,0.251256281,"25183"
2025,"Andrew Vaughn","MIL","AAA",27,16,58,65,15,8,3,1,3,8,16,7,0,13,0,0,0,6,0,0,0.258620689,"26197"
2025,"Oliver Dunn","MIL","AAA",27,106,381,443,78,49,17,4,8,46,40,52,0,143,8,0,1,4,21,5,0.204724409,"26295"
